Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_3-i_5-br_8-i_11-f_15-cl.log,0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,5,568.2653,360.87,Training,615.7434729829159
6Heliceno_6-cl_10-i_11-cl_12-cl_14-br.log,0,0,0,0,0,2,0,0,0,4,2,2,0,3,0,0,5,449.4854,365.54,Training,376.8078781166045
6Heliceno_3-f_6-br_7-f_10-br_11-cl_14-f.log,0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,6,525.68,357.67,Training,451.1079539222147
6Heliceno_1-cl_2-i_10-f_11-cl_13-f.log,2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,610.8042,359.86,Training,512.6573729540805
6Heliceno_1-i_5-br_10-f_16-i.log,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,4,522.8465,373.88,Training,510.28364755377646
6Heliceno_1-br_3-cl_5-i_6-cl_10-f_11-i.log,3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,6,339.8544,372.84,Training,351.10777338334987
6Heliceno_1-cl_5-f_6-br_7-f_13-f_15-br.log,2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,6,440.4947,360.69,Training,410.41968055322627
6Heliceno_1-br_2-cl_4-f.log,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,563.6086,360.42,Training,491.7090239506677
6Heliceno_3-i_4-f_6-i_9-cl_11-cl_16-br.log,0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,6,561.531,365.07,Training,567.782354868665
6Heliceno_1-cl_2-cl_3-f_11-br_14-cl_16-cl.log,2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,6,589.5175,363.97,Training,449.6026678039271
6Heliceno_1-i_2-cl_5-br_6-i_9-i_11-br.log,4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,6,507.4886,381.81,Training,424.95779596846836
6Heliceno_3-f_9-i_13-f_14-i_15-f.log,0,0,1,0,0,0,0,0,4,0,0,0,1,4,1,0,5,716.3189,348.98,Training,723.2632113256328
6Heliceno_1-f_6-cl_11-i_12-cl_13-br_15-br.log,1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,6,444.8256,362.06,Training,356.5144104922484
6Heliceno_2-br_7-br.log,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,680.4316,349.04,Training,668.1831401537477
6Heliceno_3-br_6-f_9-f_10-br_12-i_13-br.log,0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,6,257.1631,362.35,Training,336.41656767453026
6Heliceno_2-br_4-br_9-f_14-i.log,0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,4,679.8908,356.48,Training,666.7572225889577
6Heliceno_3-f_6-i_10-f_13-br.log,0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,4,530.3328,348.91,Training,530.8064518165376
6Heliceno_6-cl_12-i.log,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,533.7604,348.98,Training,525.9867741980606
6Heliceno_2-br_5-f_7-i_10-cl_14-br_16-cl.log,0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,6,541.0307,364.81,Training,494.3561616521036
6Heliceno_8-f_11-cl_12-br_14-br.log,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,4,544.5311,355.27,Training,560.7745594869338
6Heliceno_4-br_5-cl_7-i_8-cl_14-br_16-br.log,0,0,0,3,2,0,4,2,0,0,0,0,0,3,0,3,6,331.438,371.79,Training,333.94898404930933
