Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_3-f_6-br_7-f_10-br_11-cl_14-f.log,0,0,1,0,0,3,1,0,0,3,2,0,0,1,0,0,6,525.68,357.67,Training,458.2009213741725
6Heliceno_1-cl_2-i_10-f_11-cl_13-f.log,2,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,610.8042,359.86,Training,504.077262634104
6Heliceno_1-i_5-br_10-f_16-i.log,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,4,522.8465,373.88,Training,493.7217428143429
6Heliceno_1-br_3-cl_5-i_6-cl_10-f_11-i.log,3,0,2,0,4,2,0,0,0,1,4,0,0,0,0,0,6,339.8544,372.84,Training,354.9070183558536
6Heliceno_1-cl_5-f_6-br_7-f_13-f_15-br.log,2,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,6,440.4947,360.69,Training,402.8284942782077
6Heliceno_2-br_6-f_8-cl_11-i_14-cl.log,0,3,0,0,0,1,0,2,0,0,4,0,0,2,0,0,5,684.8319,355.68,Training,690.6376322543007
6Heliceno_3-i_4-f_6-i_9-cl_11-cl_16-br.log,0,0,4,1,0,4,0,0,2,0,2,0,0,0,0,3,6,561.531,365.07,Training,580.7826410481322
6Heliceno_3-br_10-br_13-br.log,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,620.0417,350.97,Training,539.8767811725523
6Heliceno_1-cl_2-cl_3-f_11-br_14-cl_16-cl.log,2,2,1,0,0,0,0,0,0,0,3,0,0,2,0,2,6,589.5175,363.97,Training,525.468440661484
6Heliceno_1-i_2-cl_5-br_6-i_9-i_11-br.log,4,2,0,0,3,4,0,0,4,0,3,0,0,0,0,0,6,507.4886,381.81,Training,403.8599626543085
6Heliceno_1-f_6-cl_11-i_12-cl_13-br_15-br.log,1,0,0,0,0,2,0,0,0,0,4,2,3,0,3,0,6,444.8256,362.06,Training,342.07603227765355
6Heliceno_2-br_7-br.log,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,680.4316,349.04,Training,678.9191700898964
6Heliceno_3-br_6-f_9-f_10-br_12-i_13-br.log,0,0,3,0,0,1,0,0,1,3,0,4,3,0,0,0,6,257.1631,362.35,Training,288.39614880458856
6Heliceno_2-br_4-br_9-f_14-i.log,0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,4,679.8908,356.48,Training,622.5888901828819
6Heliceno_3-f_6-i_10-f_13-br.log,0,0,1,0,0,4,0,0,0,1,0,0,3,0,0,0,4,530.3328,348.91,Training,532.2913386433282
6Heliceno_6-cl_12-i.log,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,533.7604,348.98,Training,535.272637987929
6Heliceno_2-br_5-f_7-i_10-cl_14-br_16-cl.log,0,3,0,0,1,0,4,0,0,2,0,0,0,3,0,2,6,541.0307,364.81,Training,587.2215999424054
6Heliceno_1-i_2-f_4-f_7-cl_12-cl.log,4,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,5,479.4222,363.34,Training,446.2851556091675
6Heliceno_8-f_11-cl_12-br_14-br.log,0,0,0,0,0,0,0,1,0,0,2,3,0,3,0,0,4,544.5311,355.27,Training,518.5087363075232
6Heliceno_4-br.log,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,639.1159,343.67,Training,581.570060306517
6Heliceno_2-br_3-f_6-i_10-cl_11-br_15-f.log,0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,6,546.7487,360.37,Training,598.7536810720529
6Heliceno_1-i_8-br_10-i_11-cl_12-br_15-br.log,4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,6,465.6002,379.27,Training,440.5919590664894
6Heliceno_2-f_4-br_8-cl_9-br_11-cl_12-f.log,0,1,0,3,0,0,0,2,3,0,2,1,0,0,0,0,6,511.9082,361.32,Training,460.0113197975852
6Heliceno_3-cl_6-f_10-cl_12-br.log,0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,4,536.1293,351.94,Training,512.9106905177131
6Heliceno_2-f.log,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06,Training,673.3215794116348
